"fips_state","fips_county","population_5_11"
"01","01001",5016
"01","01003",18589
"01","01005",1973
"01","01007",1662
"01","01009",5144
"01","01011",858
"01","01013",1694
"01","01015",9284
"01","01017",2755
"01","01019",1915
"01","01021",4222
"01","01023",898
"01","01025",1866
"01","01027",1062
"01","01029",1326
"01","01031",4874
"01","01033",4525
"01","01035",974
"01","01037",666
"01","01039",3155
"01","01041",1235
"01","01043",7265
"01","01045",4382
"01","01047",3393
"01","01049",6680
"01","01051",7023
"01","01053",3224
"01","01055",8317
"01","01057",1357
"01","01059",3028
"01","01061",2219
"01","01063",693
"01","01065",1294
"01","01067",1322
"01","01069",9295
"01","01071",4029
"01","01073",58565
"01","01075",1087
"01","01077",6938
"01","01079",2758
"01","01081",13407
"01","01083",8563
"01","01085",875
"01","01087",1171
"01","01089",31240
"01","01091",1616
"01","01093",2391
"01","01095",9175
"01","01097",37093
"01","01099",1674
"01","01101",20636
"01","01103",10610
"01","01105",714
"01","01107",1485
"01","01109",2449
"01","01111",1871
"01","01113",5545
"01","01115",8035
"01","01117",19676
"01","01119",868
"01","01121",6455
"01","01123",3326
"01","01125",17300
"01","01127",5498
"01","01129",1292
"01","01131",901
"01","01133",1785
"02","02013",113
"02","02016",271
"02","02020",27411
"02","02050",2594
"02","02060",62
"02","02063",596
"02","02066",296
"02","02068",165
"02","02070",645
"02","02090",9186
"02","02100",162
"02","02105",151
"02","02110",2673
"02","02122",5232
"02","02130",1187
"02","02150",1331
"02","02158",1387
"02","02164",157
"02","02170",11373
"02","02180",1455
"02","02185",1057
"02","02188",1172
"02","02195",298
"02","02198",589
"02","02220",712
"02","02230",82
"02","02240",695
"02","02275",217
"02","02282",43
"02","02290",644
"04","04001",7677
"04","04003",10713
"04","04005",11342
"04","04007",4314
"04","04009",4205
"04","04011",997
"04","04012",1302
"04","04013",411834
"04","04015",13692
"04","04017",11593
"04","04019",84551
"04","04021",41325
"04","04023",4810
"04","04025",14460
"04","04027",20807
"05","05001",1569
"05","05003",1770
"05","05005",2802
"05","05007",28585
"05","05009",3339
"05","05011",1054
"05","05013",403
"05","05015",2389
"05","05017",866
"05","05019",1679
"05","05021",1174
"05","05023",1847
"05","05025",608
"05","05027",1914
"05","05029",1880
"05","05031",10763
"05","05033",5917
"05","05035",4937
"05","05037",1512
"05","05039",574
"05","05041",1121
"05","05043",1493
"05","05045",11199
"05","05047",1538
"05","05049",1006
"05","05051",7618
"05","05053",1567
"05","05055",4230
"05","05057",2216
"05","05059",2624
"05","05061",1376
"05","05063",3594
"05","05065",981
"05","05067",1267
"05","05069",5569
"05","05071",2552
"05","05073",451
"05","05075",1359
"05","05077",622
"05","05079",814
"05","05081",1064
"05","05083",1668
"05","05085",7312
"05","05087",1433
"05","05089",1208
"05","05091",3990
"05","05093",4039
"05","05095",539
"05","05097",594
"05","05099",685
"05","05101",534
"05","05103",2010
"05","05105",896
"05","05107",1725
"05","05109",910
"05","05111",2180
"05","05113",1767
"05","05115",5678
"05","05117",687
"05","05119",35508
"05","05121",1674
"05","05123",1944
"05","05125",11182
"05","05127",919
"05","05129",594
"05","05131",11741
"05","05133",1964
"05","05135",1314
"05","05137",901
"05","05139",3636
"05","05141",1219
"05","05143",22517
"05","05145",7155
"05","05147",541
"05","05149",2035
"06","06001",133480
"06","06003",71
"06","06005",2322
"06","06007",17264
"06","06009",2943
"06","06011",2304
"06","06013",100842
"06","06015",2384
"06","06017",14769
"06","06019",113653
"06","06021",2996
"06","06023",10063
"06","06025",20469
"06","06027",1509
"06","06029",104195
"06","06031",16582
"06","06033",5365
"06","06035",2076
"06","06037",839416
"06","06039",17169
"06","06041",19765
"06","06043",1078
"06","06045",7279
"06","06047",32083
"06","06049",692
"06","06051",983
"06","06053",45282
"06","06055",10737
"06","06057",6628
"06","06059",264449
"06","06061",34791
"06","06063",1266
"06","06065",241070
"06","06067",142698
"06","06069",6239
"06","06071",222971
"06","06073",278582
"06","06075",44059
"06","06077",81111
"06","06079",19507
"06","06081",59620
"06","06083",38913
"06","06085",161226
"06","06087",20257
"06","06089",15412
"06","06091",188
"06","06093",3551
"06","06095",38654
"06","06097",37151
"06","06099",58478
"06","06101",9598
"06","06103",6118
"06","06105",799
"06","06107",57498
"06","06109",3557
"06","06111",74666
"06","06113",18027
"06","06115",8706
"08","08001",52976
"08","08003",1647
"08","08005",59564
"08","08007",997
"08","08009",342
"08","08011",354
"08","08013",23800
"08","08014",6140
"08","08015",1222
"08","08017",210
"08","08019",543
"08","08021",851
"08","08023",280
"08","08025",290
"08","08027",288
"08","08029",2395
"08","08031",53360
"08","08033",176
"08","08035",33999
"08","08037",4517
"08","08039",2163
"08","08041",66957
"08","08043",2945
"08","08045",5936
"08","08047",318
"08","08049",1020
"08","08051",1135
"08","08053",57
"08","08055",423
"08","08057",97
"08","08059",43571
"08","08061",121
"08","08063",731
"08","08065",649
"08","08067",4081
"08","08069",27120
"08","08071",997
"08","08073",450
"08","08075",1544
"08","08077",12954
"08","08079",43
"08","08081",1333
"08","08083",2340
"08","08085",3682
"08","08087",2963
"08","08089",1677
"08","08091",310
"08","08093",1057
"08","08095",393
"08","08097",975
"08","08099",1217
"08","08101",14723
"08","08103",625
"08","08105",962
"08","08107",1765
"08","08109",508
"08","08111",34
"08","08113",564
"08","08115",175
"08","08117",1933
"08","08119",1678
"08","08121",438
"08","08123",32976
"08","08125",1105
"09","09001",80607
"09","09003",71294
"09","09005",12168
"09","09007",10430
"09","09009",65139
"09","09011",19625
"09","09013",9733
"09","09015",8839
"10","10001",16295
"10","10003",46491
"10","10005",16848
"11","11001",50782
"12","12001",19359
"12","12003",2768
"12","12005",14082
"12","12007",2136
"12","12009",42562
"12","12011",158857
"12","12013",1105
"12","12015",8664
"12","12017",8548
"12","12019",19754
"12","12021",24954
"12","12023",6153
"12","12027",2760
"12","12029",1245
"12","12031",84344
"12","12033",26006
"12","12035",7498
"12","12037",719
"12","12039",3814
