"fips_state","population_5_11"
"01",421948
"02",71588
"04",642869
"05",272092
"06",3482242
"08",490474
"09",277630
"10",79238
"11",50627
"12",1641967
"13",972755
"15",119544
"16",175458
"17",1087082
"18",608840
"19",283153
"20",276286
"21",388896
"22",424007
"23",95739
"24",520856
"25",518396
"26",825413
"27",509922
"28",271246
"29",533633
"30",90024
"31",186120
"32",272779
"33",97521
"34",749125
"35",188412
"36",1553340
"37",892795
"38",70715
"39",997570
"40",376215
"41",342157
"42",1022535
"44",77349
"45",436276
"46",85391
"47",585001
"48",2903877
"49",365898
"50",43996
"51",723069
"53",657492
"54",141285
"55",492146
"56",53107
"72",227919
