"date","state_code","fips_state","state_name","fips_county","county_name","metro_status","pct_dose1_5_11","pct_complete_5_11","population_5_11","dose1_5_11","complete_5_11","dw_dose1_5_11","dw_complete_5_11"
2022-01-12,"AL","01","Alabama","01001","Autauga County","Metro",0.0925039872408294,0.0336921850079745,5016,464,169,9.25039872408293,3.36921850079745
2022-01-12,"AL","01","Alabama","01003","Baldwin County","Metro",0.0891387379633116,0.039162945828178,18589,1657,728,8.91387379633116,3.9162945828178
2022-01-12,"AL","01","Alabama","01005","Barbour County","Non-metro",0.0598073998986315,0.0278763304612266,1973,118,55,5.98073998986315,2.78763304612266
2022-01-12,"AL","01","Alabama","01007","Bibb County","Metro",0.0463297232250301,0.0174488567990373,1662,77,29,4.63297232250301,1.74488567990373
2022-01-12,"AL","01","Alabama","01009","Blount County","Metro",0.0307153965785381,0.0118584758942457,5144,158,61,3.07153965785381,1.18584758942457
2022-01-12,"AL","01","Alabama","01011","Bullock County","Non-metro",0.0850815850815851,0.0454545454545455,858,73,39,8.50815850815851,4.54545454545455
2022-01-12,"AL","01","Alabama","01013","Butler County","Non-metro",0.0454545454545455,0.0188902007083825,1694,77,32,4.54545454545455,1.88902007083825
2022-01-12,"AL","01","Alabama","01015","Calhoun County","Metro",0.132809133993968,0.0368375700129255,9284,1233,342,13.2809133993968,3.68375700129255
2022-01-12,"AL","01","Alabama","01017","Chambers County","Non-metro",0.0428312159709619,0.0163339382940109,2755,118,45,4.28312159709619,1.63339382940109
2022-01-12,"AL","01","Alabama","01019","Cherokee County","Non-metro",0.0234986945169713,0.00992167101827676,1915,45,19,2.34986945169713,0.992167101827676
2022-01-12,"AL","01","Alabama","01021","Chilton County","Metro",0.0589767882520133,0.0262908574135481,4222,249,111,5.89767882520133,2.62908574135481
2022-01-12,"AL","01","Alabama","01023","Choctaw County","Non-metro",0.089086859688196,0.0300668151447661,898,80,27,8.9086859688196,3.00668151447661
2022-01-12,"AL","01","Alabama","01025","Clarke County","Non-metro",0.0868167202572347,0.0230439442658092,1866,162,43,8.68167202572347,2.30439442658092
2022-01-12,"AL","01","Alabama","01027","Clay County","Non-metro",0.0329566854990584,0.0207156308851224,1062,35,22,3.29566854990584,2.07156308851224
2022-01-12,"AL","01","Alabama","01029","Cleburne County","Non-metro",0.0384615384615385,0.0211161387631976,1326,51,28,3.84615384615385,2.11161387631976
2022-01-12,"AL","01","Alabama","01031","Coffee County","Non-metro",0.0621665982765696,0.0279031596224867,4874,303,136,6.21665982765696,2.79031596224867
2022-01-12,"AL","01","Alabama","01033","Colbert County","Metro",0.0753591160220995,0.0316022099447514,4525,341,143,7.53591160220995,3.16022099447514
2022-01-12,"AL","01","Alabama","01035","Conecuh County","Non-metro",0.0564681724845996,0.0256673511293634,974,55,25,5.64681724845996,2.56673511293634
2022-01-12,"AL","01","Alabama","01037","Coosa County","Non-metro",0.03003003003003,0.00750750750750751,666,20,5,3.003003003003,0.750750750750751
2022-01-12,"AL","01","Alabama","01039","Covington County","Non-metro",0.0285261489698891,0.0129952456418384,3155,90,41,2.85261489698891,1.29952456418384
2022-01-12,"AL","01","Alabama","01041","Crenshaw County","Non-metro",0.042914979757085,0.0178137651821862,1235,53,22,4.2914979757085,1.78137651821862
2022-01-12,"AL","01","Alabama","01043","Cullman County","Non-metro",0.0338609772883689,0.0177563661390227,7265,246,129,3.38609772883689,1.77563661390227
2022-01-12,"AL","01","Alabama","01045","Dale County","Non-metro",0.0785029666818804,0.0374258329529895,4382,344,164,7.85029666818804,3.74258329529895
2022-01-12,"AL","01","Alabama","01047","Dallas County","Non-metro",0.0610079575596817,0.0191570881226054,3393,207,65,6.10079575596817,1.91570881226054
2022-01-12,"AL","01","Alabama","01049","DeKalb County","Non-metro",0.0318862275449102,0.0134730538922156,6680,213,90,3.18862275449102,1.34730538922156
2022-01-12,"AL","01","Alabama","01051","Elmore County","Metro",0.0647871280079738,0.0220703403104087,7023,455,155,6.47871280079738,2.20703403104087
2022-01-12,"AL","01","Alabama","01053","Escambia County","Non-metro",0.032258064516129,0.015818858560794,3224,104,51,3.2258064516129,1.5818858560794
2022-01-12,"AL","01","Alabama","01055","Etowah County","Metro",0.0561500541060479,0.0247685463508477,8317,467,206,5.61500541060479,2.47685463508477
2022-01-12,"AL","01","Alabama","01057","Fayette County","Non-metro",0.0397936624907885,0.0250552689756817,1357,54,34,3.97936624907885,2.50552689756817
2022-01-12,"AL","01","Alabama","01059","Franklin County","Non-metro",0.0426023778071334,0.0194848084544254,3028,129,59,4.26023778071334,1.94848084544254
2022-01-12,"AL","01","Alabama","01061","Geneva County","Metro",0.021180712032447,0.00721045515998197,2219,47,16,2.11807120324471,0.721045515998197
