"date","state_code","fips_state","state_name","pct_dose1_5_11","pct_complete_5_11","population_5_11","dose1_5_11","complete_5_11","dw_dose1_5_11","dw_complete_5_11"
2022-01-12,"AL","01","Alabama",0.107731284423673,0.0470247518651587,421948,45457,19842,10.7731284423673,4.70247518651587
2022-01-12,"AK","02","Alaska",0.254148740012293,0.152707157624183,71588,18194,10932,25.4148740012293,15.2707157624183
2022-01-12,"AZ","04","Arizona",0.245037480419806,0.13111691495468,642869,157527,84291,24.5037480419806,13.111691495468
2022-01-12,"AR","05","Arkansas",0.183254193434574,0.104380136130426,272092,49862,28401,18.3254193434574,10.4380136130426
2022-01-12,"CA","06","California",0.325310245525727,0.211876141864925,3482242,1132809,737804,32.5310245525727,21.1876141864925
2022-01-12,"CO","08","Colorado",0.323529891492719,0.236673095821593,490474,158683,116082,32.3529891492719,23.6673095821593
2022-01-12,"CT","09","Connecticut",0.40378561394662,0.278766703886468,277630,112103,77394,40.378561394662,27.8766703886468
2022-01-12,"DE","10","Delaware",0.255546581185795,0.16476942880941,79238,20249,13056,25.5546581185795,16.476942880941
2022-01-12,"DC","11","District of Columbia",0.400715033480159,0.222391214174255,50627,20287,11259,40.0715033480159,22.2391214174255
2022-01-12,"FL","12","Florida",0.189363123619415,0.117907363546283,1641967,310928,193600,18.9363123619415,11.7907363546283
2022-01-12,"GA","13","Georgia",0.161225591233147,0.0874094710384424,972755,156833,85028,16.1225591233147,8.74094710384424
2022-01-12,"HI","15","Hawaii",0.384929398380513,0.148648196479957,119544,46016,17770,38.4929398380513,14.8648196479957
2022-01-12,"ID","16","Idaho",,,175458,0,0,,
2022-01-12,"IL","17","Illinois",0.352805952080892,0.248409963553807,1087082,383529,270042,35.2805952080892,24.8409963553807
2022-01-12,"IN","18","Indiana",0.179437947572433,0.0984183036594179,608840,109249,59921,17.9437947572433,9.84183036594179
2022-01-12,"IA","19","Iowa",0.231390802852168,0.173927170116509,283153,65519,49248,23.1390802852168,17.3927170116509
2022-01-12,"KS","20","Kansas",0.234231919098326,0.149830248365824,276286,64715,41396,23.4231919098326,14.9830248365824
2022-01-12,"KY","21","Kentucky",0.185180613840204,0.125023142433967,388896,72016,48621,18.5180613840204,12.5023142433967
2022-01-12,"LA","22","Louisiana",0.109243479470858,0.0482397696264448,424007,46320,20454,10.9243479470858,4.82397696264449
