"date","age","age_group","dose1","pct_dose1","complete","pct_complete"
2022-01-12,"5-11",1,7680854,26.7,5060313,17.6
2022-01-11,"5-11",1,7680854,26.7,5060313,17.6
2022-01-10,"5-11",1,7675049,26.7,5054041,17.6
2022-01-09,"5-11",1,7634127,26.6,5012145,17.4
2022-01-08,"5-11",1,7608822,26.5,4986462,17.3
2022-01-07,"5-11",1,7538359,26.2,4910135,17.1
2022-01-06,"5-11",1,7453372,25.9,4825272,16.8
2022-01-05,"5-11",1,7377911,25.7,4753907,16.5
2022-01-04,"5-11",1,7297799,25.4,4683393,16.3
2022-01-03,"5-11",1,7216734,25.1,4612371,16
2022-01-02,"5-11",1,7144983,24.9,4548875,15.8
2022-01-01,"5-11",1,7117400,24.8,4514976,15.7
2021-12-31,"5-11",1,7110555,24.7,4509785,15.7
2021-12-30,"5-11",1,7078135,24.6,4479267,15.6
2021-12-29,"5-11",1,6978612,24.3,4404554,15.3
2021-12-28,"5-11",1,6871876,23.9,4320779,15
2021-12-27,"5-11",1,6771717,23.6,4234341,14.7
2021-12-26,"5-11",1,6692302,23.3,4151128,14.4
2021-12-25,"5-11",1,6671977,23.2,4122921,14.3
2021-12-24,"5-11",1,6671765,23.2,4122716,14.3
2021-12-23,"5-11",1,6658175,23.2,4106754,14.3
2021-12-22,"5-11",1,6592216,22.9,4047261,14.1
2021-12-21,"5-11",1,6501555,22.6,3963821,13.8
2021-12-20,"5-11",1,6405606,22.3,3879318,13.5
2021-12-19,"5-11",1,6315475,22,3801579,13.2
2021-12-18,"5-11",1,6282077,21.9,3772614,13.1
2021-12-17,"5-11",1,6198472,21.6,3696848,12.9
2021-12-16,"5-11",1,6098218,21.2,3598626,12.5
2021-12-15,"5-11",1,6013558,20.9,3550676,12.4
2021-12-14,"5-11",1,5931129,20.6,3441266,12
2021-12-13,"5-11",1,5854818,20.4,3309227,11.5
2021-12-12,"5-11",1,5786350,20.1,3178865,11.1
2021-12-11,"5-11",1,5753212,20,3107866,10.8
2021-12-10,"5-11",1,5672928,19.7,2879173,10
2021-12-09,"5-11",1,5570033,19.4,2668698,9.3
2021-12-08,"5-11",1,5474332,19,2494976,8.7
2021-12-07,"5-11",1,5378440,18.7,2311661,8
2021-12-06,"5-11",1,5288823,18.4,2137974,7.4
2021-12-05,"5-11",1,5211609,18.1,1977660,6.9
2021-12-04,"5-11",1,5175873,18,1853975,6.4
2021-12-03,"5-11",1,5080236,17.7,1524027,5.3
2021-12-02,"5-11",1,4966273,17.3,1246126,4.3
2021-12-01,"5-11",1,4871782,16.9,1034870,3.6
2021-11-30,"5-11",1,4766694,16.6,808704,2.8
2021-11-29,"5-11",1,4668994,16.2,596528,2.1
2021-11-28,"5-11",1,4584342,15.9,405532,1.4
2021-11-27,"5-11",1,4551102,15.8,315363,1.1
2021-11-26,"5-11",1,4487195,15.6,202952,0.7
2021-11-25,"5-11",1,4404870,15.3,154529,0.5
2021-11-24,"5-11",1,4403255,15.3,153974,0.5
2021-11-23,"5-11",1,4267905,14.8,136661,0.5
2021-11-22,"5-11",1,4099113,14.3,132116,0.5
2021-11-21,"5-11",1,3936445,13.7,129911,0.5
2021-11-20,"5-11",1,3859530,13.4,129650,0.5
2021-11-19,"5-11",1,3609036,12.6,128289,0.4
2021-11-18,"5-11",1,3373494,11.7,127701,0.4
2021-11-17,"5-11",1,3173023,11,127233,0.4
2021-11-16,"5-11",1,2965927,10.3,126565,0.4
2021-11-15,"5-11",1,2769432,9.6,126054,0.4
2021-11-14,"5-11",1,2588680,9,125358,0.4
2021-11-13,"5-11",1,2458508,8.6,125122,0.4
2021-11-12,"5-11",1,2110093,7.3,124640,0.4
2021-11-11,"5-11",1,1792226,6.2,123907,0.4
2021-11-10,"5-11",1,1505403,5.2,123461,0.4
